\U0001f500	🔀
\U0001f501	🔁
\U0001f502	🔂
\U0001f503	🔃
\U0001f504	🔄
\U0001f505	🔅
\U0001f506	🔆
\U0001f507	🔇
\U0001f508	🔈
\U0001f509	🔉
\U0001f50a	🔊
\U0001f50b	🔋
\U0001f50c	🔌
\U0001f50d	🔍
\U0001f50e	🔎
\U0001f50f	🔏
\U0001f510	🔐
\U0001f511	🔑
\U0001f512	🔒
\U0001f513	🔓
\U0001f514	🔔
\U0001f515	🔕
\U0001f516	🔖
\U0001f517	🔗
\U0001f518	🔘
\U0001f519	🔙
\U0001f51a	🔚
\U0001f51b	🔛
\U0001f51c	🔜
\U0001f51d	🔝
\U0001f51e	🔞
\U0001f51f	🔟
\U0001f520	🔠
\U0001f521	🔡
\U0001f522	🔢
\U0001f523	🔣
\U0001f524	🔤
\U0001f525	🔥
\U0001f526	🔦
\U0001f527	🔧
\U0001f528	🔨
\U0001f529	🔩
\U0001f52a	🔪
\U0001f52b	🔫
\U0001f52c	🔬
\U0001f52d	🔭
\U0001f52e	🔮
\U0001f52f	🔯
\U0001f530	🔰
\U0001f531	🔱
\U0001f532	🔲
\U0001f533	🔳
\U0001f534	🔴
\U0001f535	🔵
\U0001f536	🔶
\U0001f537	🔷
\U0001f538	🔸
\U0001f539	🔹
\U0001f53a	🔺
\U0001f53b	🔻
\U0001f53c	🔼
\U0001f53d	🔽
\U0001f549	🕉
\U0001f54a	🕊
\U0001f54b	🕋
\U0001f54c	🕌
\U0001f54d	🕍
\U0001f54e	🕎
\U0001f550	🕐
\U0001f551	🕑
\U0001f552	🕒
\U0001f553	🕓
\U0001f554	🕔
\U0001f555	🕕
\U0001f556	🕖
\U0001f557	🕗
\U0001f558	🕘
\U0001f559	🕙
\U0001f55a	🕚
\U0001f55b	🕛
\U0001f55c	🕜
\U0001f55d	🕝
\U0001f55e	🕞
\U0001f55f	🕟
\U0001f560	🕠
\U0001f561	🕡
\U0001f562	🕢
\U0001f563	🕣
\U0001f564	🕤
\U0001f565	🕥
\U0001f566	🕦
\U0001f567	🕧
\U0001f56f	🕯
\U0001f570	🕰
\U0001f573	🕳
\U0001f574	🕴
\U0001f575	🕵
\U0001f576	🕶
\U0001f577	🕷
\U0001f578	🕸
\U0001f579	🕹
\U0001f57a	🕺
\U0001f587	🖇
\U0001f58a	🖊
\U0001f58b	🖋
\U0001f58c	🖌
\U0001f58d	🖍
\U0001f590	🖐
\U0001f595	🖕
\U0001f596	🖖
\U0001f5a4	🖤
\U0001f5a5	🖥
\U0001f5a8	🖨
\U0001f5b1	🖱
\U0001f5b2	🖲
\U0001f5bc	🖼
\U0001f5c2	🗂
\U0001f5c3	🗃
\U0001f5c4	🗄
\U0001f5d1	🗑
\U0001f5d2	🗒
\U0001f5d3	🗓
\U0001f5dc	🗜
\U0001f5dd	🗝
\U0001f5de	🗞
\U0001f5e1	🗡
\U0001f5e3	🗣
\U0001f5e8	🗨
\U0001f5ef	🗯
\U0001f5f3	🗳
\U0001f5fa	🗺
\U0001f5fb	🗻
\U0001f5fc	🗼
\U0001f5fd	🗽
\U0001f5fe	🗾
\U0001f5ff	🗿
\U0001f600	😀
\U0001f601	😁
\U0001f602	😂
\U0001f603	😃
\U0001f604	😄
\U0001f605	😅
\U0001f606	😆
\U0001f607	😇
\U0001f608	😈
\U0001f609	😉
\U0001f60a	😊
\U0001f60b	😋
\U0001f60c	😌
\U0001f60d	😍
\U0001f60e	😎
\U0001f60f	😏
\U0001f610	😐
\U0001f611	😑
\U0001f612	😒
\U0001f613	😓
\U0001f614	😔
\U0001f615	😕
\U0001f616	😖
\U0001f617	😗
\U0001f618	😘
\U0001f619	😙
\U0001f61a	😚
\U0001f61b	😛
